id,title,danceability,energy,acousticness,tempo,duration_ms,duration,num_sections,num_segments
5vYA1mW9g2Coh1HUFUSmlb,3AM,0.521,0.673,0.00573,108.031,225947,0:03:45,8,830
2klCjJcucgGQysgH170npL,4 Walls,0.735,0.849,0.212,125.972,207477,0:03:27,7,999
093PI3mdUvOSlvMYDwnV1e,11:11,0.445,0.528,0.677,203.155,223452,0:03:43,12,776
64yrDBpcdwEdNY9loyEGbX,21 Guns,0.268,0.742,0.0518,159.779,321093,0:05:21,9,837
2jiI8bNSDu7UxTtDCOqh3L,21,0.68,0.724,0.163,109.974,207130,0:03:27,9,759
7kcCB7oh6X4bSoFCvrHLvG,24/7,0.762,0.594,0.1,98.025,243324,0:04:03,10,908
6b8Be6ljOzmkOmFslEb23P,24K Magic,0.818,0.803,0.034,106.97,225983,0:03:45,9,966
38td8VabuKlQt72Q2VnhbO,134340,0.664,0.688,0.153,106.022,230063,0:03:50,8,950
60ONwBU0GgM3kJhPEOhTx0,About The Distance,0.688,0.177,0.454,79.994,192000,0:03:12,9,682
3MtxiqrTNRwtj9EIVDjRSU,Afterlife,0.46,0.622,0.0904,88.03,364091,0:06:04,14,994
7nT4rMprxiA9H9HM3oZ1Kq,Again,0.614,0.547,0.767,92.99,172000,0:02:52,8,698
1trFxVLL8WKhYap543e74l,Airplane pt.2,0.769,0.817,0.0268,139.979,218615,0:03:38,10,921
2UM6b78kBrge7Esaoz93kk,Alejandro,0.623,0.793,0.000397,98.998,274213,0:04:34,9,1137
74HHgWX80N5YfZpvEQOUov,Alive,0.331,0.837,0.00259,117.963,206427,0:03:26,8,770
6jLsYKGOBRBRvdowIzuyUf,All I Wanna Do (feat. Hoody & 로꼬 Loco) [Korean Version],0.4,0.724,0.375,96.782,216786,0:03:36,9,951
3GdvlmQ8GgfFokp1hpdRJ2,All Mine,0.585,0.85,0.176,127.974,203857,0:03:23,10,820
1UwERmn5UogyCz6qo21BmA,All Night,0.777,0.807,0.0308,129.984,222894,0:03:42,9,902
2FG7k4aaCUjXX6NpCkCpgC,All Night Long,0.758,0.686,0.0234,89.019,222693,0:03:42,11,825
76ui6kPzjm2vKODEIOZMXK,All the People,0.678,0.245,0.859,84.919,172235,0:02:52,6,524
5XRHGXut00SrJUFmcn2lQF,All The Right Moves,0.53,0.95,0.284,146.035,238000,0:03:58,11,903
3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),0.698,0.633,0.0605,96.924,232187,0:03:52,12,976
6tBdTwcyyGq1HU3PXgZK82,All The Things She Said,0.604,0.831,0.0359,89.994,214440,0:03:34,7,928
5TdKQtQXE6lPJfYhi59lAZ,All Us,0.439,0.291,0.0244,39.97,129000,0:02:09,5,570
3pGNBm0zULLn7K9Vvxjjz1,Almost Home,0.382,0.0682,0.874,84.451,169187,0:02:49,5,538
7svJ308NOS6EMHd7D1YZnw,amber,0.928,0.305,0.424,133.98,117761,0:01:57,5,520
6nTiIhLmQ3FWhvrGafw2zj,American Idiot,0.38,0.988,2.64e-05,186.113,176346,0:02:56,9,729
3wBIDJLDvo0h0u1mKU9Bm6,Amsterdam,0.516,0.768,0.00852,115.005,241427,0:04:01,10,770
0Yz3F0UGDibDe8uU69zmjn,And July (feat. DEAN & DJ Friz),0.735,0.852,0.0401,98.494,226128,0:03:46,13,844
5s8TNhF23nv2Pumf0JTe2i,Animals,0.279,0.742,0.000185,189.868,231013,0:03:51,11,921
393Zq7DKr6IxkmJp5bRe6j,anything in the world,0.657,0.564,0.724,140.035,116492,0:01:56,5,442
7LJjWqhqK594nN7qJzLVXE,As If It's Your Last,0.786,0.853,0.0688,125.034,213264,0:03:33,9,781
1tjC7aF6ixOCqZxJtIO8dz,Automatic,0.598,0.604,0.0996,179.938,210160,0:03:30,10,880
27lhifdMn6erYRxLq1lrxA,Awakening,0.746,0.217,0.843,160.135,114000,0:01:54,4,449
1EYSS9Lp7a9f20C3FaOVgI,Baby Don’t Stop,0.827,0.739,0.0214,95.999,183020,0:03:03,9,796
4O0vUrKu4zu5cgnfOvli0B,Babyyy,0.621,0.364,0.656,82.014,126440,0:02:06,3,572
64XSAtXpCJUmadm3fkpH4z,Back 2 Good,0.559,0.504,0.106,89.051,340173,0:05:40,19,1097
2kGMGxlrbOLhRzGQISekBZ,Back Home,0.705,0.234,0.819,86.02,159125,0:02:39,8,588
5GKwq4sO5ZHKuWaDmdwMQc,Bad Boy,0.714,0.736,0.191,149.985,210818,0:03:30,10,833
6MjiVEJy1YVuJNFu72OH61,Bad Romance,0.695,0.919,0.00264,119.002,294640,0:04:54,12,1115
0QIRm9sUkGnezGznkWCqCo,BANG BANG BANG,0.694,0.832,0.0192,135.011,220238,0:03:40,10,874
6L89mwZXSOwYl76YXfX13s,Basket Case,0.442,0.943,0.00293,85.064,181533,0:03:01,3,657
3pM8P070gawGMIK7TTFgW1,Bastia,0.621,0.249,0.862,84.991,160941,0:02:40,5,583
4as4XEOR03oGm1STUKl6pa,BBIBBI,0.839,0.617,0.241,143.894,194426,0:03:14,6,759
3AcNJMYU4v7mr1DEWEWGmh,Be Natural (feat. SR14B 'TAEYONG (태용)'),0.58,0.868,0.123,178.002,280451,0:04:40,12,1181
4pWawf1Rq4qHDv4Ktqjg2D,Beautiful Creatures (feat. MAX),0.589,0.826,0.0663,117.099,240508,0:04:00,12,916
1VuBmEauSZywQVtqbxNqka,Beautiful Day,0.537,0.921,0.0144,136.264,248067,0:04:08,6,931
5EuAj9nZiWRKeBkgxMXsW4,Beautiful Girls,0.745,0.666,0.159,129.995,241933,0:04:01,11,956
05KfyCEE6otdlT1pp2VIjP,Believer,0.772,0.775,0.0417,124.978,203782,0:03:23,10,755
6fA7akEuTUL3dW1V0GELaZ,Bent,0.518,0.83,0.0404,95.468,256133,0:04:16,9,917
6Xk7PnitV9jCRorWt2LiVZ,Berzerk,0.739,0.872,0.0217,95.084,238746,0:03:58,11,996
5Hroj5K7vLpIG4FNCRIjbP,Best Day Of My Life,0.673,0.902,0.0629,100.016,194240,0:03:14,8,725
2tdq0CeAGSfhI2l4Gwkvgx,Best Of Me,0.651,0.756,0.0298,121.96,227191,0:03:47,10,842
5FZxsHWIvUsmSK1IAvm2pp,Best of You,0.366,0.94,0.000769,130.198,255627,0:04:15,10,865
4T3fNx3CgwDRRYgmFCbD4J,Better,0.442,0.585,0.0984,97.565,229413,0:03:49,9,800
07nH4ifBxUB4lZcsf44Brn,Blame,0.413,0.856,0.0289,128.017,212960,0:03:32,10,824
1p80LdxRV74UKvL8gnD7ky,Blank Space,0.752,0.678,0.085,96.009,231827,0:03:51,10,856
0uNKf8j4cNI1DLWpps877e,blankets,0.61,0.147,0.936,79.954,174000,0:02:54,7,538
6LtPIXlIzPOTF8vTecYjRe,Bleeding Love,0.635,0.647,0.192,104.054,262693,0:04:22,14,946
2auTfKFcoQd7z2uFCeuaww,Bleeding Out,0.299,0.754,0.0195,169.373,221053,0:03:41,10,708
0oSNOJEcBIKNcQzRc5TfyR,Blood Sweat & Tears,0.585,0.887,0.0244,92.971,217079,0:03:37,11,850
7DjtkwBT1F9Pod8SggSvJf,Blue,0.69,0.245,0.406,80.027,123042,0:02:03,4,504
0gb636CX4wHmcgqV0ydKdm,BODY,0.769,0.624,0.146,100.021,209760,0:03:29,10,888
0NeNAcCVtGqLAAmf4FhWWT,BOOMBAYAH,0.658,0.836,0.00264,124.969,240849,0:04:00,9,901
38xWaVFKaxZlMFvzNff2aW,Breakeven,0.63,0.698,0.173,94.023,261427,0:04:21,10,935
2TYfPBSXeAJQgP1CpkXDUP,Breaking Down,0.58,0.72,0.155,109.972,229067,0:03:49,13,739
4FDdBqOTzfWfuDfODCOply,Breathe Again,0.625,0.93,0.0498,150.05,192000,0:03:12,8,760
0COqiPhxzoWICwFCS4eZcp,Bring Me To Life,0.316,0.945,0.00895,189.931,235893,0:03:55,12,771
4z9gBZQjGS4QLb4LOvmeuA,Burning Up (Fire),0.627,0.706,0.00227,99.93,203352,0:03:23,12,789
3kOtrXdDW7zkcLP5IrMmDc,By The Shore,0.834,0.256,0.642,88.944,194164,0:03:14,9,687
2ftBcyzDa2REbBy7pMfbTT,Bye Babe,0.915,0.464,0.128,106.034,198256,0:03:18,11,753
2yiZyjMEByt9sJBZWnWaDR,Bye Bye Bye,0.571,0.87,0.0198,172.716,199640,0:03:19,9,816
4jdiqVbH1eUwc4MzDV7GMu,CALL ME BABY,0.692,0.886,0.284,100.03,211013,0:03:31,8,871
65Wn0KpbPXTVLNQNEMtK1j,Call On Me - Radio Edit,0.597,0.837,0.00427,126.342,171360,0:02:51,10,644
6ObpR8ek44tvWefQRcSo8K,Calling All My Lovelies,0.662,0.705,0.0392,159.996,250080,0:04:10,10,894
10FP9hm2aFfAIKEopqaG9D,Can't Fight The Moonlight,0.628,0.834,0.403,97.865,215507,0:03:35,9,736
42CeaId2XNlxugDvyqHfDf,Candy Paint,0.765,0.688,0.633,90.013,229573,0:03:49,10,875
1R6amI33Kxxbxnas1ictrD,Capitano (Instrumental Version),0.4,0.259,0.92,245.327,177946,0:02:57,8,768
3yM1SaSngFZCla4gOOUn2a,Car Radio,0.479,0.452,0.65,52.294,162016,0:02:42,8,607
6PCUP3dWmTjcTtXY02oFdT,Castle on the Hill,0.461,0.834,0.0232,135.007,261154,0:04:21,12,914
7Bka7BItYbiCQOSbJNx0ni,Cataclysm,0.509,0.867,0.0113,140.028,300000,0:05:00,13,1190
10VuRG4YCjIDFxTliN02MP,Catch Me If You Can - Korean Version,0.714,0.852,0.0154,133.989,225173,0:03:45,14,887
69gdXYtXQEX9xNeEto8K0q,Cause,0.679,0.45,0.748,80.075,110071,0:01:50,6,409
1uDhHTNIBF5BJQWTjKnCoa,Celebration Song,0.393,0.959,4e-05,185.226,219382,0:03:39,11,712
2CvcVMkyBhXHD9d0QIpw4X,Chaos,0.809,0.581,0.0115,149.949,132038,0:02:12,5,591
7zC7nXQPpj7oVeboU5lYOP,Chariots,0.257,0.973,0.000125,129.051,276587,0:04:36,10,980
0rpIH5otu7ykvZPdcQuRPh,Chasing Cars,0.556,0.595,0.214,104.001,266347,0:04:26,15,816
1D7e4LrjdB4mKaI9XYrmPY,CHEER UP,0.548,0.885,0.139,172.946,208862,0:03:28,11,785
28PYwyQETvCDNXMRBFAtzr,Choke,0.652,0.403,0.871,140.012,180000,0:03:00,7,444
5DPOA0BfvqhGuiuosDgzMN,Christmas Chill,0.638,0.0703,0.318,77.366,125067,0:02:05,6,419
0mBKv9DkYfQHjdMcw2jdyI,Chunky,0.571,0.539,0.0208,202.103,186973,0:03:06,7,715
14p5EKgbPx4U3P1j5JNHeh,"Cigarette (Feat. Tablo, MISO)",0.776,0.392,0.271,87.98,241765,0:04:01,14,896
4ao9bdN6ozxdlQ9j2rGDFy,City Of Blinding Lights,0.447,0.768,0.000264,139.23,347867,0:05:47,18,1164
0KcV1EQdppMZe78MGT6wBn,clay castle ruins,0.775,0.337,0.868,138.016,139139,0:02:19,7,595
0BCPKOYdS2jbQ8iyB56Zns,Clocks,0.577,0.749,0.599,130.969,307880,0:05:07,13,1033
6gHQIxtN5UwHJlEaUjcViK,Close Enough,0.696,0.61,0.0279,99.98,167759,0:02:47,7,698
7BKLCZ1jbUBVqRi2FVlTVw,Closer,0.748,0.524,0.414,95.01,244960,0:04:04,11,810
31qa3MvGhA4FbbeUOhBe4J,cocoa,0.572,0.341,0.934,89.098,86400,0:01:26,5,271
0nKpHGrnuejevp6openGaF,Cold,0.648,0.734,0.368,167.044,228433,0:03:48,9,942
7qKPyKGfnYRdcpnc1Wz97A,Cold Feet,0.582,0.719,0.0621,125.988,238117,0:03:58,9,982
2Nbk6e3lExNzZj9AuCwV8C,Cold Skin,0.393,0.695,0.00446,143.913,211667,0:03:31,11,736
